id,identifier,name,parent
1869,math,Vše,
1870,numbers,Počítání,1869
1871,numbers_leq_10,Počítání do 10,1870
1872,numbers_leq_20,Počítání do 20,1870
1873,1,1,1871
1874,2,2,1871
1875,3,3,1871
1876,4,4,1871
1877,5,5,1871
1878,6,6,1871
1879,7,7,1871
1880,8,8,1871
1881,9,9,1871
1882,10,10,1871
1883,11,11,1872
1884,12,12,1872
1885,13,13,1872
1886,14,14,1872
1887,15,15,1872
1888,16,16,1872
1889,17,17,1872
1890,18,18,1872
1891,19,19,1872
1892,20,20,1872
1893,addition,Sčítání,1869
1894,addition_leq_10,Sčítání do 10,1893
1895,addition_leq_20,Sčítání do 20,1893
1896,addition_leq_100,Sčítání do 100,1893
1897,0+0,0+0,1894
1898,0+1,0+1,1894
1899,0+2,0+2,1894
1900,0+3,0+3,1894
1901,0+4,0+4,1894
1902,0+5,0+5,1894
1903,0+6,0+6,1894
1904,0+7,0+7,1894
1905,0+8,0+8,1894
1906,0+9,0+9,1894
1907,0+10,0+10,1894
1908,0+11,0+11,1895
1909,0+12,0+12,1895
1910,0+13,0+13,1895
1911,0+14,0+14,1895
1912,0+15,0+15,1895
1913,0+16,0+16,1895
1914,0+17,0+17,1895
1915,0+18,0+18,1895
1916,0+19,0+19,1895
1917,0+20,0+20,1895
1918,1+1,1+1,1894
1919,1+2,1+2,1894
1920,1+3,1+3,1894
1921,1+4,1+4,1894
1922,1+5,1+5,1894
1923,1+6,1+6,1894
1924,1+7,1+7,1894
1925,1+8,1+8,1894
1926,1+9,1+9,1894
1927,1+10,1+10,1895
1928,1+11,1+11,1895
1929,1+12,1+12,1895
1930,1+13,1+13,1895
1931,1+14,1+14,1895
1932,1+15,1+15,1895
1933,1+16,1+16,1895
1934,1+17,1+17,1895
1935,1+18,1+18,1895
1936,1+19,1+19,1895
1937,2+2,2+2,1894
1938,2+3,2+3,1894
1939,2+4,2+4,1894
1940,2+5,2+5,1894
1941,2+6,2+6,1894
1942,2+7,2+7,1894
1943,2+8,2+8,1894
1944,2+9,2+9,1895
1945,2+10,2+10,1895
1946,2+11,2+11,1895
1947,2+12,2+12,1895
1948,2+13,2+13,1895
1949,2+14,2+14,1895
